Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
Spiteful Tit For Tat,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
"Stalker: (D,)",CCDCCCCCCD,24,-5,10,2.4,-0.5,0,TRUE,8,6,2,1,1,5,1,1,1,1,0,0,0,1
"Stein and Rapoport: 0.05: (D, D)",CCCCCDCCDD,26,0,10,2.6,0,0,TRUE,7,5,2,2,1,4,1,1,1,1,1,0,0,1
Stochastic Cooperator,CCDDDDCCCC,28,5,10,2.8,0.5,1,TRUE,6,4,2,3,1,4,0,0,1,1,2,0,1,0
Stochastic WSLS: 0.05,CCDDDCCCCC,26,0,10,2.6,0,0,TRUE,7,5,2,2,1,5,0,0,1,0,2,1,0,1
Suspicious Tit For Tat,DCDCCDCCCC,27,0,10,2.7,0,0,FALSE,7,4,3,3,0,4,0,0,2,3,0,0,0,1
Tester,DCCCCDCCCC,25,-5,10,2.5,-0.5,0,FALSE,8,5,3,2,0,5,0,1,1,2,0,0,0,1
TF1,CCDDDDDCCD,31,15,10,3.1,1.5,1,TRUE,4,3,1,4,2,2,1,0,1,1,3,0,1,0
TF2,CDDCDDDCCD,30,15,10,3,1.5,1,TRUE,4,4,0,3,3,1,3,0,0,2,1,0,2,0
TF3,CCCDCDDDDD,32,15,10,3.2,1.5,1,TRUE,4,2,2,5,1,1,1,1,1,1,4,0,0,0
ThueMorse,DCCDCDDCCD,30,10,10,3,1,1,FALSE,5,3,2,4,1,1,2,1,1,3,1,0,0,0
ThueMorseInverse,CDDCDCCDDC,29,10,10,2.9,1,1,TRUE,5,4,1,3,2,1,3,0,0,2,1,1,1,0
Thumper,CCDDCDDCCC,29,5,10,2.9,0.5,1,TRUE,6,3,3,4,0,3,0,0,2,2,2,0,0,0
Tideman and Chieruzzi,CCDCCDDCCC,27,0,10,2.7,0,0,TRUE,7,4,3,3,0,4,0,0,2,2,1,0,0,1
Tit For Tat,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
Tit For 2 Tats,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Tranquilizer,CCDCCCCCCC,23,-10,10,2.3,-1,0,TRUE,9,6,3,1,0,6,0,1,1,1,0,0,0,1
Tricky Cooperator,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
