Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
Delayed AON1,CCCDDCDCCC,19,-10,10,1.9,-1,0,TRUE,7,4,3,1,2,4,0,0,2,0,1,2,0,1
"DoubleCrosser: (D, D)",CCCCCCCDDD,20,-10,10,2,-1,0,TRUE,7,3,4,2,1,3,0,3,1,0,2,0,0,1
Doubler,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
DoubleResurrection,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
EasyGo,DDDCCCCCCC,20,-10,10,2,-1,0,FALSE,7,3,4,2,1,3,0,3,0,0,2,1,0,1
Eatherley,CCCCCCDDCC,18,-15,10,1.8,-1.5,0,TRUE,8,4,4,1,1,4,0,2,1,1,0,0,1,1
"EugineNier: (D,)",CCCDCDDDCD,22,0,10,2.2,0,0,TRUE,5,3,2,2,3,2,1,0,2,2,0,0,2,1
Eventual Cycle Hunter,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
Evolved ANN,CCCCDDDDDD,23,5,10,2.3,0.5,1,TRUE,4,3,1,2,4,2,1,1,0,0,2,0,3,0
Evolved ANN 5,CCCCCCDDDD,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,2,1,0,2,0,1,1
Evolved ANN 5 Noise 05,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
Evolved FSM 4,CCCDDCCDDD,23,0,10,2.3,0,0,TRUE,5,2,3,3,2,2,0,1,2,0,3,1,0,1
Evolved FSM 16,CCCDCCDCCD,19,-10,10,1.9,-1,0,TRUE,7,4,3,1,2,3,1,1,2,1,0,1,0,1
Evolved FSM 16 Noise 05,CCCDCDDCDD,22,0,10,2.2,0,0,TRUE,5,3,2,2,3,2,1,0,2,1,1,1,1,1
EvolvedLookerUp1_1_1,CCCDDDDDDD,25,10,10,2.5,1,1,TRUE,3,2,1,3,4,2,0,0,1,0,3,0,3,0
EvolvedLookerUp2_2_2,CCCDCCCCCC,17,-20,10,1.7,-2,0,TRUE,9,4,5,1,0,4,0,3,1,1,0,0,0,1
Evolved HMM 5,CCCDDDDCCC,20,-5,10,2,-0.5,0,TRUE,6,4,2,1,3,4,0,0,1,0,1,1,2,1
"Feld: 1.0, 0.5, 200",CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Firm But Fair,CCCDCDCDCC,20,-10,10,2,-1,0,TRUE,7,3,4,2,1,3,0,0,3,2,0,1,0,1
Fool Me Forever,DDDCCCCCCC,20,-10,10,2,-1,0,FALSE,7,3,4,2,1,3,0,3,0,0,2,1,0,1
Fool Me Once,CCCCCDDDDD,22,0,10,2.2,0,0,TRUE,5,3,2,2,3,3,0,1,1,0,2,0,2,1
Forgetful Fool Me Once: 0.05,CCCCCDDDDD,22,0,10,2.2,0,0,TRUE,5,3,2,2,3,3,0,1,1,0,2,0,2,1
Forgetful Grudger,CCCDDDDDDD,25,10,10,2.5,1,1,TRUE,3,2,1,3,4,2,0,0,1,0,3,0,3,0
Forgiver,CCCDDDDDDD,25,10,10,2.5,1,1,TRUE,3,2,1,3,4,2,0,0,1,0,3,0,3,0
Forgiving Tit For Tat,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Fortress3,DDDDDDCDDD,29,20,10,2.9,2,1,FALSE,1,0,1,5,4,0,0,0,1,0,5,1,2,0
Fortress4,DDDDDDDCCC,25,10,10,2.5,1,1,FALSE,3,2,1,3,4,2,0,0,0,0,3,1,3,0
GTFT: 0.33,CCCDCCDDCC,20,-10,10,2,-1,0,TRUE,7,3,4,2,1,3,0,1,2,2,0,0,1,1
"General Soft Grudger: n=1,d=4,c=2",CCCDDDDCCC,20,-5,10,2,-0.5,0,TRUE,6,4,2,1,3,4,0,0,1,0,1,1,2,1
Getzler,CCCDCCDDDC,22,-5,10,2.2,-0.5,0,TRUE,6,2,4,3,1,2,0,1,2,2,1,0,1,1
Gladstein,DCCCCDDDCC,21,-5,10,2.1,-0.5,0,FALSE,6,3,3,2,2,3,0,1,1,2,0,0,2,1
Soft Go By Majority,CCCCCCCDCC,17,-20,10,1.7,-2,0,TRUE,9,4,5,1,0,4,0,3,1,1,0,0,0,1
Soft Go By Majority: 10,CCCCCCCDCC,17,-20,10,1.7,-2,0,TRUE,9,4,5,1,0,4,0,3,1,1,0,0,0,1
